model,question,found,answer_similarity,answer_correctness,faithfulness,article_recall,accuracy
BGE-M3,هل يمكن سجن شخص بسبب ديون تجارية؟,True,0.768,0.5809,0.768,0.2,0.6267
BGE-M3,ما الفرق بين النصب وخيانة الأمانة؟,True,0.5431,0.4426,0.6174,0.8,0.5664
BGE-M3,هل يمكن متابعة شريك تجاري جزائياً؟,True,0.4677,0.2412,0.3628,0.2,0.3387
BGE-M3,ما هي الجرائم المرتبطة بالإفلاس؟,True,0.8398,0.3333,0.4275,0.8,0.5994
BGE-M3,هل إخفاء الأرباح للتهرب الضريبي جريمة؟,True,0.5974,0.3071,0.377,0.2,0.4066
BGE-M3,ما عقوبة تزوير العقود التجارية؟,True,0.7761,0.4367,0.5556,0.6,0.6038
BGE-M3,هل يمكن متابعة مورد لم يحترم العقد؟,True,0.7865,0.5118,0.7547,0.4,0.6398
BGE-M3,ما عقوبة بيع منتجات خطيرة أو فاسدة؟,True,0.6772,0.5871,0.705,0.6,0.6442
BGE-M3,هل يمكن تقديم شكوى ضد شركة وهمية؟,True,0.7679,0.3277,0.405,0.2,0.4781
BGE-M3,هل العقد الشفهي ملزم قانونياً؟,True,0.5025,0.2749,0.3689,0.6,0.4221
BGE-M3,كيف يمكن فسخ عقد بين طرفين؟,True,0.5261,0.5783,0.8552,0.8,0.6487
BGE-M3,ماذا يحدث إذا لم يلتزم أحد بالعقد؟,True,0.2981,0.5953,0.6959,0.6,0.5121
BGE-M3,هل يمكن المطالبة بالتعويض عن الضرر؟,True,0.7592,0.331,0.4459,0.8,0.5742
BGE-M3,ما هي شروط صحة العقد؟,True,0.6936,0.2687,0.3558,0.2,0.4245
BGE-M3,هل يمكن تعديل العقد بعد توقيعه؟,True,0.761,0.3373,0.4957,0.5,0.5417
BGE-M3,ماذا أفعل إذا لم يدفع لي الزبون؟,True,0.4825,0.3037,0.443,0.4,0.4086
BGE-M3,هل يمكن إجبار الطرف الآخر على تنفيذ العقد؟,True,0.5436,0.5038,0.6028,0.8,0.582
BGE-M3,ما هي المسؤولية المدنية؟,True,0.8989,0.4077,0.6565,0.2,0.5982
BGE-M3,كيف يتم حساب التعويض؟,True,0.6008,0.3099,0.48,1.0,0.5492
BGE-M3,هل يمكن إلغاء عقد البيع؟,True,0.6829,0.2952,0.5286,0.2,0.4633
BGE-M3,ما الفرق بين البطلان والفسخ؟,True,0.1972,0.3896,0.5,0.2,0.3159
BGE-M3,هل يمكن استرجاع عربون؟,True,0.7625,0.5228,0.72,0.4,0.6277
BGE-M3,ماذا يحدث إذا تأخر التسليم؟,True,0.4569,0.3776,0.4819,0.2,0.3996
BGE-M3,هل العقد بدون توثيق قانوني صحيح؟,True,0.7397,0.2925,0.4101,0.8,0.5487
BGE-M3,ما هي القوة القاهرة في العقود؟,True,0.8167,0.3436,0.456,0.2,0.5101
BGE-M3,هل يمكن فسخ العقد بسبب الغش؟,True,0.7667,0.3158,0.4538,0.4,0.5139
BGE-M3,كيف أثبت وجود اتفاق؟,True,0.6998,0.4178,0.5066,0.6,0.5616
BGE-M3,هل يمكن رفع دعوى بدون عقد مكتوب؟,True,0.7008,0.1809,0.2883,0.6,0.4472
BGE-M3,ما هي آجال التقادم في الديون؟,True,0.4931,0.2629,0.4444,0.4,0.4004
BGE-M3,ماذا أفعل إذا أخل المورد بالاتفاق؟,True,0.8377,0.2909,0.3882,0.2,0.4881
BGE-M3,هل يمكن تحميل المسؤولية لشخص ثالث؟,True,0.8594,0.2628,0.3893,0.4,0.5175
BGE-M3,ما هي شروط التعويض عن الضرر التجاري؟,True,0.9043,0.3904,0.5594,0.25,0.583
BGE-M3,هل يمكن فسخ عقد الإيجار التجاري؟,True,0.692,0.3616,0.6916,0.6,0.579
BGE-M3,هل يمكن المطالبة بالفوائد على التأخير؟,True,0.5445,0.2266,0.2661,0.4,0.3718
BGE-M3,ماذا يحدث إذا توفي أحد أطراف العقد؟,True,0.7001,0.5444,0.7417,0.4,0.6167
BGE-M3,هل يمكن بيع شيء لا أملكه؟,True,0.555,0.5388,0.6341,0.4,0.5427
BGE-M3,ما هي التزامات البائع؟,True,0.8392,0.5013,0.6975,0.6,0.6736
BGE-M3,ما هي التزامات المشتري؟,True,0.7982,0.3786,0.5988,0.6,0.6027
BGE-M3,كيف أحمي نفسي قانونياً في عقد؟,True,0.7357,0.2473,0.3772,0.4,0.4671
BGE-M3,كيف أقدم طعن ضد قرار إداري؟,True,0.5902,0.5731,0.7742,0.4,0.5934
BGE-M3,لماذا تم رفض طلبي لفتح محل؟,True,0.8812,0.5545,0.5789,0.6,0.6806
BGE-M3,كيف أتحصل على رخصة تجارية؟,True,0.8046,0.4982,0.5287,0.2,0.5668
BGE-M3,ما هي الإجراءات لفتح نشاط تجاري؟,True,0.8708,0.35,0.4467,0.2,0.5291
BGE-M3,هل يمكن الطعن في غرامة إدارية؟,True,0.4251,0.4312,0.5893,0.4,0.456
BGE-M3,ما هي حقوقي مع البلدية؟,True,0.7031,0.2785,0.4486,0.4,0.4793
BGE-M3,كيف أتعامل مع تعسف الإدارة؟,True,0.5261,0.2906,0.5177,0.2,0.4049
BGE-M3,ما هي الوثائق المطلوبة لفتح شركة؟,True,0.8813,0.5672,0.6232,0.8,0.7233
BGE-M3,هل يمكن مقاضاة إدارة عمومية؟,True,0.4824,0.4752,0.6,0.8,0.5514
BGE-M3,كم تستغرق الإجراءات الإدارية؟,True,0.6374,0.327,0.4429,0.4,0.4698
BGE-M3,كيف أستخرج سجل تجاري؟,True,0.8845,0.6178,0.7565,0.6,0.7362
BGE-M3,ماذا أفعل إذا تأخرت الإدارة؟,True,0.5215,0.1585,0.1852,0.4,0.3271
BGE-M3,هل يمكن طلب تعويض من الدولة؟,True,0.6304,0.4088,0.5366,0.4,0.5106
BGE-M3,ما هي شروط ممارسة نشاط تجاري؟,True,0.869,0.3911,0.5606,0.4,0.5936
BGE-M3,كيف أتعامل مع الضرائب المفروضة؟,True,0.3646,0.1238,0.4516,0.0,0.2551
BGE-M3,هل يمكن لصاحب العمل عدم دفع راتبي؟,True,0.5502,0.385,0.537,0.5,0.4905
BGE-M3,ما هي حقوق العامل في الجزائر؟,True,0.8161,0.3783,0.5533,0.0,0.5098
BGE-M3,هل يمكن طردي بدون سبب؟,True,0.5181,0.6102,0.7288,0.6,0.6001
BGE-M3,ما هي مدة الإشعار قبل الاستقالة؟,True,0.5553,0.5484,0.6966,0.4,0.5582
BGE-M3,هل العقد الشفهي في العمل مقبول؟,True,0.6262,0.3435,0.5149,0.6,0.5152
BGE-M3,ماذا أفعل إذا لم أحصل على عقد؟,True,0.4239,0.1689,0.1926,0.2,0.2675
BGE-M3,هل يمكن العمل بدون تصريح؟,True,0.7627,0.4024,0.6,0.6,0.5977
BGE-M3,ما هي ساعات العمل القانونية؟,True,0.8236,0.5658,0.7143,0.5,0.6758
BGE-M3,هل يحق لي عطلة مدفوعة؟,True,0.5846,0.3742,0.5818,0.6,0.5232
BGE-M3,ما هي حقوقي في حالة الفصل؟,True,0.775,0.413,0.4887,0.4,0.5529
BGE-M3,كيف أرفع دعوى ضد صاحب العمل؟,True,0.3371,0.361,0.525,0.6,0.4213
BGE-M3,هل يمكنني ترك العمل فوراً؟,True,0.6275,0.332,0.4154,0.2,0.4323
BGE-M3,ما هي التعويضات عند الطرد؟,True,0.7971,0.2258,0.2432,0.0,0.3954
BGE-M3,هل يمكن لصاحب العمل تغيير العقد؟,True,0.689,0.3529,0.4746,0.4,0.502
BGE-M3,ما هي حقوق المرأة العاملة؟,True,0.9224,0.5622,0.7881,1.0,0.7991
BGE-M3,هل يمكن العمل في أكثر من وظيفة؟,True,0.5326,0.5,0.5,0.4,0.4964
BGE-M3,ماذا يحدث في حالة إصابة عمل؟,True,0.608,0.2905,0.3767,0.6,0.4653
BGE-M3,هل يمكن خصم الراتب بدون سبب؟,True,0.6432,0.5385,0.6864,0.4,0.5839
BGE-M3,ما هي حقوق العامل في القطاع الخاص؟,True,0.7119,0.3519,0.5031,0.25,0.4928
BGE-M3,هل يمكن رفض العمل الإضافي؟,True,0.8992,0.5773,0.6759,0.4,0.6831
BGE-M3,كيف يتم حساب الأجر؟,True,0.7156,0.5607,0.7607,0.5,0.6458
BGE-M3,هل يمكن فسخ عقد العمل؟,True,0.6191,0.4834,0.6338,0.6,0.5785
BGE-M3,ما هي أنواع عقود العمل؟,True,0.7782,0.4589,0.5364,0.4,0.5773
BGE-M3,هل يمكن رفع شكوى لمفتشية العمل؟,True,0.7929,0.5197,0.7451,0.6,0.6725
BGE-M3,ماذا أفعل إذا تعرضت للظلم في العمل؟,True,0.4534,0.2455,0.3711,0.2,0.3366
BGE-M3,كيف أفتح شركة في الجزائر؟,True,0.7433,0.3781,0.5399,0.5,0.5566
BGE-M3,ما الفرق بين SARL و SPA؟,True,0.8127,0.5798,0.6887,0.6,0.6861
BGE-M3,ما هي شروط إنشاء شركة؟,True,0.8813,0.3256,0.4851,0.6,0.5932
BGE-M3,كيف أكتب عقد شراكة؟,True,0.5829,0.4239,0.5864,0.3333,0.4985
BGE-M3,ماذا يحدث إذا انسحب شريك؟,True,0.8851,0.5103,0.5481,0.8,0.6925
BGE-M3,كيف يتم تقسيم الأرباح؟,True,0.5497,0.3087,0.4444,0.5,0.4489
BGE-M3,هل يمكن بيع حصتي في الشركة؟,True,0.7259,0.515,0.6296,0.4,0.5945
BGE-M3,ما هي مسؤولية المدير؟,True,0.4843,0.6114,0.8255,1.0,0.668
BGE-M3,ماذا أفعل إذا خانني شريكي؟,True,0.7713,0.2442,0.4135,0.4,0.4859
BGE-M3,كيف أحمي فكرتي التجارية؟,True,0.7319,0.32,0.4375,0.2,0.4697
BGE-M3,هل يمكن فتح نشاط بدون سجل تجاري؟,True,0.7117,0.5382,0.6694,0.6,0.6344
BGE-M3,ما هي التزامات التاجر؟,True,0.6983,0.5827,0.6284,0.8,0.6649
BGE-M3,كيف يتم تسجيل شركة؟,True,0.8806,0.4729,0.7,0.5,0.6651
BGE-M3,ما هي الضرائب على الشركات؟,True,0.6854,0.5525,0.6436,0.5,0.6093
BGE-M3,كيف أتعامل مع زبون لم يدفع؟,True,0.5575,0.3352,0.4698,0.2,0.4196
BGE-M3,ما هي إجراءات الإفلاس؟,True,0.7772,0.3158,0.5761,0.2,0.512
BGE-M3,هل يمكن إغلاق الشركة بسهولة؟,True,0.7099,0.5333,0.6369,0.8,0.6559
BGE-M3,كيف أرفع دعوى تجارية؟,True,0.6199,0.3609,0.4651,0.4,0.4783
BGE-M3,ما الفرق بين التاجر والشركة؟,True,0.7512,0.5201,0.608,0.4,0.6005
BGE-M3,هل يمكن لشخص أجنبي فتح شركة؟,True,0.6114,0.4476,0.6024,0.6,0.5587
BGE-M3,ما هي شروط التجارة الإلكترونية؟,True,0.8069,0.5549,0.7241,0.6,0.6837
BGE-M3,هل البيع عبر الإنترنت قانوني؟,True,0.8355,0.5208,0.6815,0.75,0.6975
BGE-M3,كيف أتعامل مع مورد لم يحترم العقد؟,True,0.5571,0.4138,0.5133,0.2,0.4518
BGE-M3,ما هي الوثائق التجارية الأساسية؟,True,0.8286,0.4204,0.5789,0.6,0.6219
BGE-M3,كيف أحمي علامتي التجارية؟,True,0.3842,0.512,0.74,0.6,0.5261
BGE-M3,ما هي المنافسة غير المشروعة؟,True,0.5602,0.5359,0.6875,0.4,0.5543
BGE-M3,هل يمكن فتح شركة بدون رأس مال كبير؟,True,0.8476,0.4904,0.5931,0.4,0.6224
BGE-M3,ما هي أنواع الشركات في الجزائر؟,True,0.7695,0.3312,0.5524,0.6,0.5691
BGE-M3,كيف يتم حل النزاعات التجارية؟,True,0.9259,0.3463,0.5324,0.6,0.6244
BGE-M3,هل يمكن تغيير نشاط الشركة؟,True,0.7931,0.5028,0.6706,0.4,0.6226
BGE-M3,ما هي مسؤولية الشركاء؟,True,0.6136,0.3368,0.558,0.6,0.5174
BGE-M3,كيف أتعامل مع ديون الشركة؟,True,0.6664,0.4404,0.5816,0.4,0.5417
MiniLM,هل النصب في التجارة يُعاقب عليه القانون؟,True,0.4501,0.0704,0.3793,0.2,0.2845
MiniLM,شخص باعني منتج مزور، هل هذا يعتبر جريمة؟,True,0.6765,0.2703,0.4513,0.0,0.4081
MiniLM,ما هي عقوبة الغش في بيع السلع؟,True,0.75,0.4058,0.4703,0.4,0.5383
MiniLM,هل يمكنني رفع شكوى ضد تاجر خدعني؟,True,0.6244,0.1456,0.2519,0.2,0.3426
MiniLM,ما هي عقوبة إصدار شيك بدون رصيد؟,True,0.6789,0.3952,0.5776,0.4,0.5317
MiniLM,هل عدم تسليم السلعة بعد الدفع يعتبر جريمة؟,True,0.7777,0.3541,0.4135,0.2,0.4911
MiniLM,هل التزوير في الفواتير يعاقب عليه؟,True,0.7077,0.3929,0.5556,1.0,0.6267
MiniLM,ما عقوبة سرقة معدات من محل تجاري؟,True,0.7047,0.2373,0.3023,0.2,0.4083
MiniLM,هل يمكن متابعة موظف سرق من الشركة؟,True,0.586,0.1977,0.2203,0.0,0.3085
MiniLM,ما هي عقوبة خيانة الأمانة في التجارة؟,True,0.5541,0.1485,0.4717,0.8,0.4528
MiniLM,هل نشر معلومات كاذبة عن شركة جريمة؟,True,0.7399,0.3507,0.3963,0.4,0.5035
MiniLM,هل يمكن معاقبة شخص على المنافسة غير الشريفة؟,True,0.4875,0.1099,0.4167,0.0,0.2869
MiniLM,ما عقوبة التهديد في إطار العمل؟,True,0.6945,0.2639,0.4706,1.0,0.5664
MiniLM,هل الاحتيال الإلكتروني (online scam) جريمة؟,True,0.7238,0.2447,0.2769,0.25,0.4196
MiniLM,ما هي عقوبة انتحال صفة شركة؟,True,0.7294,0.5514,0.6742,0.2,0.5855
MiniLM,هل استغلال أموال الشركة بشكل غير قانوني جريمة؟,True,0.6557,0.3516,0.5417,0.2,0.4733
MiniLM,هل يمكن سجن شخص بسبب ديون تجارية؟,True,0.8313,0.1567,0.3857,0.0,0.4151
MiniLM,ما الفرق بين النصب وخيانة الأمانة؟,True,0.6466,0.2059,0.3577,0.2,0.3896
MiniLM,هل يمكن متابعة شريك تجاري جزائياً؟,True,0.4461,0.2257,0.28,0.0,0.2798
MiniLM,ما هي الجرائم المرتبطة بالإفلاس؟,True,0.3741,0.0612,0.2857,0.0,0.2064
MiniLM,هل إخفاء الأرباح للتهرب الضريبي جريمة؟,True,0.6705,0.1176,0.4,0.0,0.35
MiniLM,ما عقوبة تزوير العقود التجارية؟,True,0.8374,0.3571,0.4676,0.6,0.5837
MiniLM,هل يمكن متابعة مورد لم يحترم العقد؟,True,0.6814,0.3202,0.4536,0.2,0.4553
MiniLM,ما عقوبة بيع منتجات خطيرة أو فاسدة؟,True,0.7249,0.4796,0.5976,0.8,0.6371
MiniLM,هل يمكن تقديم شكوى ضد شركة وهمية؟,True,0.5386,0.1143,0.3478,0.2,0.3224
MiniLM,هل العقد الشفهي ملزم قانونياً؟,True,0.6639,0.28,0.3732,0.2,0.421
MiniLM,كيف يمكن فسخ عقد بين طرفين؟,True,0.7227,0.4252,0.5534,0.6,0.5812
MiniLM,ماذا يحدث إذا لم يلتزم أحد بالعقد؟,True,0.6787,0.5977,0.6904,0.6,0.6449
MiniLM,هل يمكن المطالبة بالتعويض عن الضرر؟,True,0.6598,0.2688,0.382,0.6,0.478
MiniLM,ما هي شروط صحة العقد؟,True,0.7536,0.256,0.3556,0.4,0.4717
MiniLM,هل يمكن تعديل العقد بعد توقيعه؟,True,0.7779,0.373,0.5714,0.5,0.5735
MiniLM,ماذا أفعل إذا لم يدفع لي الزبون؟,True,0.6648,0.4242,0.5366,0.6,0.5573
MiniLM,هل يمكن إجبار الطرف الآخر على تنفيذ العقد؟,True,0.7279,0.406,0.5327,0.8,0.6031
MiniLM,ما هي المسؤولية المدنية؟,True,0.6538,0.2432,0.3551,0.0,0.3728
MiniLM,كيف يتم حساب التعويض؟,True,0.3847,0.2222,0.3921,1.0,0.4297
MiniLM,هل يمكن إلغاء عقد البيع؟,True,0.8101,0.3227,0.5445,0.2,0.5193
MiniLM,ما الفرق بين البطلان والفسخ؟,True,0.3672,0.4475,0.5753,0.2,0.4078
MiniLM,هل يمكن استرجاع عربون؟,True,0.1912,0.0994,0.4,0.2,0.2067
MiniLM,ماذا يحدث إذا تأخر التسليم؟,True,0.4136,0.2349,0.3385,0.4,0.3429
MiniLM,هل العقد بدون توثيق قانوني صحيح؟,True,0.6973,0.2391,0.3884,0.2,0.4235
MiniLM,ما هي القوة القاهرة في العقود؟,True,0.6309,0.2844,0.4404,0.6,0.4842
MiniLM,هل يمكن فسخ العقد بسبب الغش؟,True,0.8699,0.25,0.3091,0.0,0.4413
MiniLM,كيف أثبت وجود اتفاق؟,True,0.8501,0.3648,0.4663,0.2,0.5302
MiniLM,هل يمكن رفع دعوى بدون عقد مكتوب؟,True,0.7477,0.2934,0.3821,0.8,0.5461
MiniLM,ما هي آجال التقادم في الديون؟,True,0.5967,0.3043,0.3958,0.4,0.4393
MiniLM,ماذا أفعل إذا أخل المورد بالاتفاق؟,True,0.6333,0.2576,0.3333,0.0,0.3656
MiniLM,هل يمكن تحميل المسؤولية لشخص ثالث؟,True,0.7772,0.2642,0.3355,0.2,0.4484
MiniLM,ما هي شروط التعويض عن الضرر التجاري؟,True,0.5965,0.2408,0.3569,0.0,0.3524
MiniLM,هل يمكن فسخ عقد الإيجار التجاري؟,True,0.6883,0.1319,0.4878,0.8,0.498
MiniLM,هل يمكن المطالبة بالفوائد على التأخير؟,True,0.64,0.1628,0.375,0.2,0.3778
MiniLM,ماذا يحدث إذا توفي أحد أطراف العقد؟,True,0.7008,0.4185,0.5792,0.4,0.5467
MiniLM,هل يمكن بيع شيء لا أملكه؟,True,0.7117,0.5787,0.6691,0.6,0.6465
MiniLM,ما هي التزامات البائع؟,True,0.7374,0.43,0.6133,0.4,0.5697
MiniLM,ما هي التزامات المشتري؟,True,0.7432,0.169,0.4521,0.6,0.4912
MiniLM,كيف أحمي نفسي قانونياً في عقد؟,True,0.7511,0.2426,0.383,0.2,0.4423
MiniLM,كيف أقدم طعن ضد قرار إداري؟,True,0.7315,0.4643,0.6846,0.4,0.5922
MiniLM,لماذا تم رفض طلبي لفتح محل؟,True,0.5807,0.2105,0.413,0.6,0.439
MiniLM,كيف أتحصل على رخصة تجارية؟,True,0.4906,0.131,0.2955,0.4,0.3301
MiniLM,ما هي الإجراءات لفتح نشاط تجاري؟,True,0.8843,0.5191,0.6592,0.4,0.6571
MiniLM,هل يمكن الطعن في غرامة إدارية؟,True,0.7358,0.4138,0.5489,0.6,0.5814
MiniLM,ما هي حقوقي مع البلدية؟,True,0.6165,0.2277,0.3231,0.0,0.3487
MiniLM,كيف أتعامل مع تعسف الإدارة؟,True,0.6907,0.2661,0.3986,0.0,0.4013
MiniLM,ما هي الوثائق المطلوبة لفتح شركة؟,True,0.8269,0.4858,0.5097,0.6,0.6271
MiniLM,هل يمكن مقاضاة إدارة عمومية؟,True,0.8131,0.5612,0.7079,0.2,0.6245
MiniLM,كم تستغرق الإجراءات الإدارية؟,True,0.6757,0.268,0.3982,0.2,0.4266
MiniLM,كيف أستخرج سجل تجاري؟,True,0.851,0.5573,0.6592,0.6,0.6869
MiniLM,ماذا أفعل إذا تأخرت الإدارة؟,True,0.6837,0.1965,0.2778,0.0,0.3538
MiniLM,هل يمكن طلب تعويض من الدولة؟,True,0.7855,0.3429,0.4315,0.4,0.5241
MiniLM,ما هي شروط ممارسة نشاط تجاري؟,True,0.9222,0.4967,0.6856,0.4,0.6689
MiniLM,كيف أتعامل مع الضرائب المفروضة؟,True,0.6262,0.2167,0.3333,0.25,0.3884
MiniLM,هل يمكن لصاحب العمل عدم دفع راتبي؟,True,0.6485,0.4455,0.6435,0.5,0.5643
MiniLM,ما هي حقوق العامل في الجزائر؟,True,0.8258,0.3618,0.516,0.25,0.5383
MiniLM,هل يمكن طردي بدون سبب؟,True,0.7509,0.4231,0.5825,0.2,0.5362
MiniLM,ما هي مدة الإشعار قبل الاستقالة؟,True,0.6775,0.4554,0.6,0.2,0.5238
MiniLM,هل العقد الشفهي في العمل مقبول؟,True,0.754,0.3501,0.4602,0.6,0.551
MiniLM,ماذا أفعل إذا لم أحصل على عقد؟,True,0.7546,0.296,0.391,0.2,0.4611
MiniLM,هل يمكن العمل بدون تصريح؟,True,0.4875,0.2517,0.4819,0.4,0.4025
MiniLM,ما هي ساعات العمل القانونية؟,True,0.8864,0.5036,0.6842,0.75,0.7107
MiniLM,هل يحق لي عطلة مدفوعة؟,True,0.8199,0.4358,0.6408,0.8,0.6658
MiniLM,ما هي حقوقي في حالة الفصل؟,True,0.4296,0.2944,0.4458,0.0,0.3278
MiniLM,كيف أرفع دعوى ضد صاحب العمل؟,True,0.8332,0.3821,0.4775,0.8,0.6218
MiniLM,هل يمكنني ترك العمل فوراً؟,True,0.6557,0.1879,0.4474,0.0,0.3753
MiniLM,ما هي التعويضات عند الطرد؟,True,0.5706,0.1769,0.1784,0.6667,0.3885
MiniLM,هل يمكن لصاحب العمل تغيير العقد؟,True,0.8422,0.2731,0.4737,0.2,0.5014
MiniLM,ما هي حقوق المرأة العاملة؟,True,0.8562,0.4588,0.645,0.75,0.6788
MiniLM,هل يمكن العمل في أكثر من وظيفة؟,True,0.695,0.4675,0.4196,0.2,0.4974
MiniLM,ماذا يحدث في حالة إصابة عمل؟,True,0.4879,0.2172,0.3846,0.0,0.3129
MiniLM,هل يمكن خصم الراتب بدون سبب؟,True,0.6581,0.2968,0.4405,0.2,0.4374
MiniLM,ما هي حقوق العامل في القطاع الخاص؟,True,0.867,0.4363,0.5,0.5,0.6093
MiniLM,هل يمكن رفض العمل الإضافي؟,True,0.858,0.4776,0.6435,0.4,0.6323
MiniLM,كيف يتم حساب الأجر؟,True,0.257,0.4043,0.6026,0.5,0.4068
MiniLM,هل يمكن فسخ عقد العمل؟,True,0.8249,0.4427,0.5784,0.6,0.6272
MiniLM,ما هي أنواع عقود العمل؟,True,0.7099,0.3504,0.4436,0.6,0.5323
MiniLM,هل يمكن رفع شكوى لمفتشية العمل؟,True,0.4874,0.1,0.25,0.4,0.3106
MiniLM,ماذا أفعل إذا تعرضت للظلم في العمل؟,True,0.5881,0.2662,0.3742,0.0,0.3605
MiniLM,كيف أفتح شركة في الجزائر؟,True,0.8244,0.3406,0.5742,0.5,0.5805
MiniLM,ما الفرق بين SARL و SPA؟,True,0.8753,0.5143,0.7233,0.4,0.6653
MiniLM,ما هي شروط إنشاء شركة؟,True,0.7756,0.3175,0.4397,0.2,0.4846
MiniLM,كيف أكتب عقد شراكة؟,True,0.6504,0.212,0.4935,0.1667,0.4149
MiniLM,ماذا يحدث إذا انسحب شريك؟,True,0.8512,0.5057,0.6561,0.6,0.6708
MiniLM,كيف يتم تقسيم الأرباح؟,True,0.6564,0.3047,0.4579,0.5,0.4877
MiniLM,هل يمكن بيع حصتي في الشركة؟,True,0.626,0.3945,0.4621,0.4,0.4899
MiniLM,ما هي مسؤولية المدير؟,True,0.3379,0.5011,0.6985,0.4,0.4683
MiniLM,ماذا أفعل إذا خانني شريكي؟,True,0.7172,0.1762,0.3626,0.0,0.3764
MiniLM,كيف أحمي فكرتي التجارية؟,True,0.642,0.1667,0.3469,0.2,0.3741
MiniLM,هل يمكن فتح نشاط بدون سجل تجاري؟,True,0.7643,0.4242,0.4776,0.6,0.5803
MiniLM,ما هي التزامات التاجر؟,True,0.7829,0.216,0.3063,0.6,0.4901
MiniLM,كيف يتم تسجيل شركة؟,True,0.7229,0.2753,0.3594,0.0,0.4075
MiniLM,ما هي الضرائب على الشركات؟,True,0.6476,0.5634,0.6015,0.5,0.591
MiniLM,كيف أتعامل مع زبون لم يدفع؟,True,0.7192,0.3234,0.4759,0.2,0.4739
MiniLM,ما هي إجراءات الإفلاس؟,True,0.6925,0.1845,0.3196,0.0,0.3616
MiniLM,هل يمكن إغلاق الشركة بسهولة؟,True,0.7376,0.5297,0.6607,0.8,0.6692
MiniLM,كيف أرفع دعوى تجارية؟,True,0.8686,0.2803,0.4592,0.2,0.5099
MiniLM,ما الفرق بين التاجر والشركة؟,True,0.7858,0.3192,0.4277,0.4,0.5163
MiniLM,هل يمكن لشخص أجنبي فتح شركة؟,True,0.6507,0.1404,0.4146,0.6,0.4428
MiniLM,ما هي شروط التجارة الإلكترونية؟,True,0.8153,0.2543,0.3842,0.6,0.5285
MiniLM,هل البيع عبر الإنترنت قانوني؟,True,0.8843,0.4672,0.5782,0.5,0.6403
MiniLM,كيف أتعامل مع مورد لم يحترم العقد؟,True,0.6827,0.3679,0.4797,0.2,0.4753
MiniLM,ما هي الوثائق التجارية الأساسية؟,True,0.8546,0.4455,0.4664,0.4,0.586
MiniLM,كيف أحمي علامتي التجارية؟,True,0.7293,0.3228,0.3976,0.2,0.4616
MiniLM,ما هي المنافسة غير المشروعة؟,True,0.5924,0.2644,0.3702,0.4,0.4207
MiniLM,هل يمكن فتح شركة بدون رأس مال كبير؟,True,0.7581,0.4317,0.679,0.6,0.6206
MiniLM,ما هي أنواع الشركات في الجزائر؟,True,0.691,0.2246,0.4795,0.4,0.4651
MiniLM,كيف يتم حل النزاعات التجارية؟,True,0.8079,0.2724,0.3333,0.4,0.4911
MiniLM,هل يمكن تغيير نشاط الشركة؟,True,0.5278,0.1739,0.3711,0.0,0.3111
MiniLM,ما هي مسؤولية الشركاء؟,True,0.8245,0.3247,0.4859,0.4,0.5432
MiniLM,كيف أتعامل مع ديون الشركة؟,True,0.7844,0.4775,0.5759,0.6,0.6229
Qwen,هل النصب في التجارة يُعاقب عليه القانون؟,True,0.6585,0.3254,0.4903,0.6,0.5161
Qwen,شخص باعني منتج مزور، هل هذا يعتبر جريمة؟,True,0.5503,0.2847,0.4303,0.0,0.3641
