question,expected_articles,retrieved_articles,matched_count,total_expected,is_hit,recall_at_30,rank_of_first_hit,reciprocal_rank,precision_at_1
هل نشر معلومات كاذبة عن شركة جريمة؟,قانون العقوبات - المادة 223 | قانون العقوبات - المادة 172 | القانون التجاري - المادة 811 | قانون العقوبات - المادة 215 | قانون العقوبات - المادة 372,قانون العقوبات - المادة 372 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 172 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 228 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 226 | قانون العقوبات - المادة 371 | القانون التجاري - المادة 833 | قانون العقوبات - المادة 217 | قانون العقوبات - المادة 203 | القانون التجاري - المادة 811 | قانون العقوبات - المادة 215 | قانون العقوبات - المادة 387 | قانون العقوبات - المادة 201 | قانون العقوبات - المادة 430 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 18 | القانون التجاري - المادة 545 | القانون المدني - المادة 324 مكرر 1 | قانون العقوبات - المادة 296 | قانون العقوبات - المادة 199 | قانون العقوبات - المادة 229 | القانون التجاري - المادة 588 | قانون العقوبات - المادة 210 | القانون التجاري - المادة 10 مكرر | القانون التجاري - المادة 593 | الأمر 03-03 المتعلق بالمنافسة - المادة 26 | القانون التجاري - المادة 572 | قانون العقوبات - المادة 388,5,5,True,1.0,1,1.0,1
هل يمكن معاقبة شخص على المنافسة غير الشريفة؟,قانون العقوبات - المادة 172 | قانون العقوبات - المادة 45 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 220 | قانون العقوبات - المادة 18,قانون العقوبات - المادة 172 | الأمر 03-03 المتعلق بالمنافسة - المادة 26 | قانون العقوبات - المادة 173 | قانون العقوبات - المادة 18 | الأمر 03-03 المتعلق بالمنافسة - المادة 3 | قانون العقوبات - المادة 174 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 226 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 23 | قانون العقوبات - المادة 222 | قانون العقوبات - المادة 18 | قانون العقوبات - المادة 210 | القانون التجاري - المادة 14 | القانون المدني - المادة 432 | الأمر 06-03 المتضمن القانون الأساسي العام للوظيفة العمومية - المادة 17 | قانون العقوبات - المادة 17 | قانون 90-11 المتعلق بعلاقات العمل - المادة 148 | القانون التجاري - المادة 588 | قانون العقوبات - المادة 207 | قانون العقوبات - المادة 217 | قانون العقوبات - المادة 382 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 296 | قانون العقوبات - المادة 45 | قانون العقوبات - المادة 388 | قانون العقوبات - المادة 35 | قانون الاجراءات المدنية والادارية - المادة 305 | قانون العقوبات - المادة 34,4,5,True,0.8,1,1.0,1
ما عقوبة التهديد في إطار العمل؟,قانون العقوبات - المادة 287 | قانون العقوبات - المادة 371 | قانون العقوبات - المادة 286 | قانون العقوبات - المادة 285 | قانون العقوبات - المادة 284,قانون العقوبات - المادة 284 | قانون العقوبات - المادة 286 | قانون العقوبات - المادة 287 | قانون العقوبات - المادة 285 | قانون العقوبات - المادة 371 | قانون العقوبات - المادة 175 | قانون العقوبات - المادة 265 | قانون الاجراءات المدنية والادارية - المادة 305 | قانون العقوبات - المادة 353 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 215 | قانون العقوبات - المادة 298 | قانون العقوبات - المادة 214 | قانون العقوبات - المادة 4 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | قانون العقوبات - المادة 222 | قانون العقوبات - المادة 370 | قانون العقوبات - المادة 23 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 5 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | القانون التجاري - المادة 800 | القانون التجاري - المادة 811 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | قانون العقوبات - المادة 429 | قانون 90-11 المتعلق بعلاقات العمل - المادة 148 | قانون العقوبات - المادة 388 | قانون العقوبات - المادة 206 | قانون العقوبات - المادة 19,5,5,True,1.0,1,1.0,1
هل الاحتيال الإلكتروني (online scam) جريمة؟,قانون العقوبات - المادة 372 | قانون العقوبات - المادة 172 | قانون العقوبات - المادة 350 | القانون التجاري - المادة 374,قانون العقوبات - المادة 372 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 429 | قانون العقوبات - المادة 350 | القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | قانون العقوبات - المادة 371 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 5 | قانون العقوبات - المادة 376 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 1 | قانون العقوبات - المادة 387 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 5 | قانون العقوبات - المادة 203 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 2 | القانون المدني - المادة 327 | القانون المدني - المادة 323 مكرر 1 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 8 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 5 | قانون العقوبات - المادة 39 | القانون التجاري - المادة 374 | قانون العقوبات - المادة 231 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 3 | قانون العقوبات - المادة 297 | قانون العقوبات - المادة 27 | قانون العقوبات - المادة 43 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 1 | قانون العقوبات - المادة 226 | قانون العقوبات - المادة 229 | قانون العقوبات - المادة 210,3,4,True,0.75,1,1.0,1
ما هي عقوبة انتحال صفة شركة؟,قانون العقوبات - المادة 223 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 214 | قانون العقوبات - المادة 216,قانون العقوبات - المادة 372 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 383 | القانون التجاري - المادة 811 | قانون العقوبات - المادة 363 | القانون التجاري - المادة 800 | قانون العقوبات - المادة 382 مكرر | القانون المدني - المادة 438 | القانون التجاري - المادة 589 | القانون التجاري - المادة 833 | القانون التجاري - المادة 572 | القانون التجاري - المادة 766 | القانون التجاري - المادة 591 | قانون العقوبات - المادة 298 | قانون العقوبات - المادة 384 | القانون التجاري - المادة 593 | القانون التجاري - المادة 117 | قانون العقوبات - المادة 299 | قانون العقوبات - المادة 216 | القانون التجاري - المادة 545 | قانون العقوبات - المادة 298 مكرر | قانون العقوبات - المادة 17 | قانون العقوبات - المادة 5 | قانون العقوبات - المادة 266 | قانون العقوبات - المادة 214 | القانون المدني - المادة 444 | القانون المدني - المادة 433 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 370,4,5,True,0.8,1,1.0,1
هل استغلال أموال الشركة بشكل غير قانوني جريمة؟,القانون التجاري - المادة 811 | القانون التجاري - المادة 800 | القانون المدني - المادة 433 | قانون العقوبات - المادة 25 | قانون العقوبات - المادة 15,القانون التجاري - المادة 811 | القانون التجاري - المادة 800 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 15 | قانون العقوبات - المادة 172 | قانون العقوبات - المادة 366 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 207 | قانون العقوبات - المادة 380 | القانون المدني - المادة 447 | قانون العقوبات - المادة 39 | القانون المدني - المادة 433 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 208 | القانون المدني - المادة 439 | قانون العقوبات - المادة 25 | القانون المدني - المادة 432 | القانون التجاري - المادة 833 | الأمر 03-03 المتعلق بالمنافسة - المادة 26 | القانون التجاري - المادة 588 | القانون المدني - المادة 17 مكرر | القانون المدني - المادة 434 | القانون المدني - المادة 436 | القانون التجاري - المادة 604 | القانون المدني - المادة 443 | الأمر 06-03 المتضمن القانون الأساسي العام للوظيفة العمومية - المادة 17 | قانون العقوبات - المادة 210 | قانون العقوبات - المادة 1 | القانون المدني - المادة 689,5,5,True,1.0,1,1.0,1
هل يمكن سجن شخص بسبب ديون تجارية؟,قانون العقوبات - المادة 383 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 5 | قانون العقوبات - المادة 18 | القانون التجاري - المادة 215,قانون العقوبات - المادة 383 | القانون التجاري - المادة 118 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 219 | القانون التجاري - المادة 28 | القانون التجاري - المادة 30 | القانون التجاري - المادة 31 | القانون التجاري - المادة 374 | القانون التجاري - المادة 4 | القانون التجاري - المادة 10 مكرر | قانون العقوبات - المادة 382 مكرر | القانون التجاري - المادة 2 | القانون التجاري - المادة 22 | قانون العقوبات - المادة 384 | قانون العقوبات - المادة 5 | القانون التجاري - المادة 6 | القانون التجاري - المادة 215 | القانون 04-08 المتعلق بشروط ممارسة الأنشطة التجارية - المادة 8 | القانون التجاري - المادة 117 | القانون التجاري - المادة 19 | القانون المدني - المادة 406 | قانون العقوبات - المادة 264 | القانون التجاري - المادة 14 | القانون المدني - المادة 434 | القانون التجاري - المادة 32 | قانون العقوبات - المادة 388 | القانون التجاري - المادة 89 | القانون التجاري - المادة 549 | القانون التجاري - المادة 8 | القانون المدني - المادة 756,4,5,True,0.8,1,1.0,1
ما الفرق بين النصب وخيانة الأمانة؟,قانون العقوبات - المادة 376 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 378 | قانون العقوبات - المادة 381 | قانون العقوبات - المادة 372,قانون العقوبات - المادة 376 | قانون العقوبات - المادة 378 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 377 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 381 | القانون المدني - المادة 200 | قانون العقوبات - المادة 372 | القانون المدني - المادة 294 | قانون العقوبات - المادة 373 | القانون المدني - المادة 296 | القانون المدني - المادة 284 | القانون المدني - المادة 172 | القانون المدني - المادة 383 | القانون المدني - المادة 216 | القانون المدني - المادة 305 | القانون المدني - المادة 490 | القانون المدني - المادة 267 | القانون المدني - المادة 103 | قانون العقوبات - المادة 226 | القانون المدني - المادة 499 | قانون العقوبات - المادة 370 | القانون المدني - المادة 439 | القانون المدني - المادة 119 | قانون العقوبات - المادة 382 | القانون المدني - المادة 785 | قانون العقوبات - المادة 225 | القانون المدني - المادة 102 | القانون المدني - المادة 297 | قانون الاجراءات المدنية والادارية - المادة 58,5,5,True,1.0,1,1.0,1
هل يمكن متابعة شريك تجاري جزائياً؟,القانون المدني - المادة 442 | قانون العقوبات - المادة 44 | القانون التجاري - المادة 10 مكرر | القانون التجاري - المادة 28 | قانون العقوبات - المادة 384,القانون التجاري - المادة 10 مكرر | القانون التجاري - المادة 4 | قانون العقوبات - المادة 383 | القانون التجاري - المادة 30 | قانون العقوبات - المادة 384 | القانون التجاري - المادة 169 | القانون التجاري - المادة 2 | قانون العقوبات - المادة 44 | القانون التجاري - المادة 578 | القانون التجاري - المادة 117 | القانون التجاري - المادة 590 مكرر 2 | القانون التجاري - المادة 777 | القانون 04-08 المتعلق بشروط ممارسة الأنشطة التجارية - المادة 25 | القانون التجاري - المادة 544 | القانون التجاري - المادة 14 | القانون المدني - المادة 442 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 363 | القانون 04-08 المتعلق بشروط ممارسة الأنشطة التجارية - المادة 8 | قانون العقوبات - المادة 372 | القانون التجاري - المادة 89 | القانون التجاري - المادة 773 | القانون التجاري - المادة 24 | قانون العقوبات - المادة 6 | القانون التجاري - المادة 7 | القانون التجاري - المادة 22 | القانون التجاري - المادة 31 | دليل إجراءات المركز الوطني للسجل التجاري (CNRC) - المادة 0 | قانون العقوبات - المادة 219 | القانون التجاري - المادة 3,5,5,True,1.0,1,1.0,1
ما هي الجرائم المرتبطة بالإفلاس؟,قانون العقوبات - المادة 383 | قانون العقوبات - المادة 384 | القانون التجاري - المادة 374 | القانون التجاري - المادة 15 | القانون التجاري - المادة 216,قانون العقوبات - المادة 383 | قانون العقوبات - المادة 384 | القانون التجاري - المادة 374 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 387 | قانون العقوبات - المادة 4 | قانون العقوبات - المادة 15 | القانون التجاري - المادة 15 | القانون التجاري - المادة 216 | قانون العقوبات - المادة 27 | قانون العقوبات - المادة 286 | قانون العقوبات - المادة 366 | قانون العقوبات - المادة 34 | قانون العقوبات - المادة 5 | القانون التجاري - المادة 14 | القانون المدني - المادة 447 | قانون العقوبات - المادة 48 | قانون العقوبات - المادة 354 | قانون العقوبات - المادة 213 | قانون العقوبات - المادة 33 | القانون المدني - المادة 424 | قانون العقوبات - المادة 30 | قانون العقوبات - المادة 35 | قانون العقوبات - المادة 37 | قانون العقوبات - المادة 47 | القانون المدني - المادة 422 | قانون العقوبات - المادة 174 | قانون العقوبات - المادة 39 | قانون الاجراءات المدنية والادارية - المادة 55 | قانون العقوبات - المادة 388,5,5,True,1.0,1,1.0,1
هل إخفاء الأرباح للتهرب الضريبي جريمة؟,قانون العقوبات - المادة 387 | القانون التجاري - المادة 800 | قانون العقوبات - المادة 365 | قانون العقوبات - المادة 429 | القانون التجاري - المادة 811,قانون العقوبات - المادة 387 | قانون العقوبات - المادة 388 | القانون التجاري - المادة 374 | قانون العقوبات - المادة 383 | قانون الضرائب المباشرة والرسوم المماثلة - المادة 135 | قانون العقوبات - المادة 365 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 39 | قانون العقوبات - المادة 389 | القانون التجاري - المادة 800 | القانون المدني - المادة 425 | قانون العقوبات - المادة 369 | القانون التجاري - المادة 722 | قانون العقوبات - المادة 199 | القانون المدني - المادة 436 | قانون العقوبات - المادة 229 | القانون المدني - المادة 447 | قانون العقوبات - المادة 27 | القانون التجاري - المادة 588 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون العقوبات - المادة 174 | القانون التجاري - المادة 724 | قانون العقوبات - المادة 226 | قانون العقوبات - المادة 46 | قانون العقوبات - المادة 25 | قانون العقوبات - المادة 30 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 23 | قانون العقوبات - المادة 212 | قانون العقوبات - المادة 363,3,5,True,0.6,1,1.0,1
